pitches,player_id,player_name,total_pitches,pitch_percent,ba,iso,babip,slg,woba,xwoba,xba,hits,abs,launch_speed,launch_angle,spin_rate,velocity,effective_speed,whiffs,swings,takes,eff_min_vel,release_extension,pos3_int_start_distance,pos4_int_start_distance,pos5_int_start_distance,pos6_int_start_distance,pos7_int_start_distance,pos8_int_start_distance,pos9_int_start_distance
967,641355,"Bellinger, Cody",967,100,0.239,0.216,0.245,0.455,0.34,0.372,0.28,51,213,89,16.3,2274,89,88,107,460,507,-1,6.18,116,153,132,151,300,329,308
966,592206,"Castellanos, Nick",966,100,0.225,0.261,0.257,0.486,0.329,0.372,0.272,49,218,91,16.5,2349,87.7,87.94,171,500,466,0.2,6.38,105,150,118,143,301,327,295
963,572122,"Seager, Kyle",963,100,0.241,0.192,0.24,0.433,0.338,0.365,0.252,49,203,89.1,17.7,2260,88.2,87.9,79,388,575,-0.3,6.16,114,162,123,153,293,323,302
962,572233,"Walker, Christian",962,100,0.271,0.188,0.317,0.459,0.341,0.339,0.264,59,218,90.4,11.5,2295,89.4,89.09,135,498,464,-0.3,6.22,109,152,120,145,308,327,297
956,608336,"Gallo, Joey",956,100,0.181,0.197,0.24,0.378,0.297,0.313,0.19,35,193,89,24.5,2250,88.1,87.75,156,417,539,-0.3,6.13,120,168,132,154,308,332,305
955,656941,"Schwarber, Kyle",955,100,0.188,0.204,0.219,0.393,0.307,0.335,0.22,36,191,92.4,8.5,2335,88.4,88.84,115,410,545,0.4,6.46,117,161,124,152,297,325,307
951,605204,"Davis, J.D.",951,100,0.247,0.142,0.318,0.389,0.342,0.361,0.256,47,190,90.1,3.3,2215,88.6,88.76,125,427,524,0.2,6.37,103,150,120,146,305,325,292
944,596748,"Franco, Maikel",944,100,0.278,0.179,0.298,0.457,0.329,0.304,0.254,62,223,86.7,8.5,2294,87.3,87.51,116,471,473,0.2,6.27,106,151,121,146,305,328,298
943,516782,"Marte, Starling",943,100,0.281,0.149,0.319,0.43,0.333,0.322,0.262,64,228,85.7,5.4,2226,88.8,88.62,125,497,446,-0.2,6.36,107,151,112,146,308,326,295
941,664023,"Happ, Ian",941,100,0.258,0.247,0.317,0.505,0.369,0.358,0.258,51,198,90.5,9.1,2287,88.4,88.49,146,409,532,0.1,6.41,114,153,121,152,295,323,299
940,600303,"La Stella, Tommy",940,100,0.281,0.168,0.276,0.449,0.355,0.347,0.273,55,196,87.8,16.7,2260,88.8,88.46,40,358,582,-0.3,6.17,116,156,114,153,290,320,302
940,573262,"Yastrzemski, Mike",940,100,0.297,0.271,0.37,0.568,0.407,0.367,0.254,57,192,88.2,18.3,2255,89.1,88.15,91,368,572,-1,6.18,116,153,114,153,294,324,305
936,592518,"Machado, Manny",936,100,0.304,0.277,0.297,0.58,0.391,0.384,0.302,68,224,90.2,15.6,2279,89.5,89.42,95,437,499,-0.1,6.24,109,152,121,146,305,328,299
935,641487,"Crawford, J.P.",935,100,0.255,0.083,0.303,0.338,0.302,0.315,0.254,52,204,85.6,11.2,2228,89.2,88.87,70,384,551,-0.3,6.18,118,150,109,152,286,316,299
932,624424,"Conforto, Michael",932,100,0.322,0.193,0.412,0.515,0.401,0.375,0.284,65,202,88.4,11,2227,87.9,87.8,107,412,520,-0.1,6.35,111,153,122,149,295,325,300
930,605141,"Betts, Mookie",930,100,0.292,0.269,0.289,0.562,0.39,0.359,0.281,64,219,90.7,18.5,2286,89,87.92,52,377,553,-1.1,6.17,107,152,119,145,304,329,302
929,624413,"Alonso, Pete",929,100,0.231,0.26,0.242,0.49,0.345,0.332,0.222,48,208,90.2,15.5,2274,88,88.17,130,428,501,0.2,6.35,104,152,121,146,305,327,296
923,458015,"Votto, Joey",923,100,0.226,0.22,0.235,0.446,0.347,0.369,0.253,42,186,87.4,15.4,2287,88.4,88.68,75,334,589,0.3,6.4,115,160,128,150,288,321,302
923,657077,"Verdugo, Alex",923,100,0.308,0.169,0.371,0.478,0.362,0.298,0.238,62,201,87,5.9,2184,89,89.08,74,395,528,0.1,6.37,116,150,122,149,284,320,302
918,543305,"Hicks, Aaron",918,100,0.225,0.189,0.256,0.414,0.351,0.372,0.254,38,169,87.9,10.6,2172,88.4,88.35,101,362,556,0,6.35,112,159,123,147,297,321,293
910,572228,"Voit, Luke",910,100,0.277,0.333,0.268,0.61,0.393,0.388,0.279,59,213,88.9,15.2,2230,87.9,87.86,131,474,436,0,6.39,106,153,120,144,306,323,288
909,595879,"Báez, Javier",909,100,0.203,0.158,0.262,0.36,0.256,0.274,0.214,45,222,88.7,9.7,2365,87.9,88.07,183,484,425,0.2,6.47,105,150,116,145,302,326,298
909,408234,"Cabrera, Miguel",909,100,0.25,0.167,0.283,0.417,0.323,0.375,0.285,51,204,93.2,12.1,2321,88.2,88.1,137,434,475,-0.1,6.31,108,157,126,151,305,329,293
